               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.044022,           0.0045781,           0.0012747,             0.73478,             0.74425,             0.76062,             0.44247,            0.039092,            0.020074,           0.0019333,           0.0096858,           0.0096858,           0.0096858
                 129,            0.046258,           0.0049449,           0.0013523,             0.73221,             0.74734,             0.75984,             0.44197,             0.03908,            0.020064,            0.001935,           0.0096809,           0.0096809,           0.0096809
                 130,            0.044839,           0.0046755,           0.0012521,             0.73997,             0.74034,             0.75855,             0.44096,            0.039056,            0.020051,           0.0019334,            0.009676,            0.009676,            0.009676
                 131,            0.044233,           0.0046163,           0.0011863,             0.74209,             0.74003,             0.75835,             0.44091,            0.039032,            0.020034,           0.0019327,            0.009671,            0.009671,            0.009671
                 132,            0.044233,            0.004679,           0.0013174,             0.73973,             0.74064,             0.75816,             0.44037,             0.03901,            0.020034,           0.0019325,            0.009666,            0.009666,            0.009666
                 133,            0.044784,           0.0047593,           0.0012769,             0.74084,             0.74255,             0.75886,             0.44178,            0.038999,            0.020035,           0.0019326,            0.009661,            0.009661,            0.009661
                 134,             0.04424,           0.0048565,           0.0014891,             0.74087,             0.74366,             0.75944,             0.44337,            0.038985,            0.020032,           0.0019287,           0.0096559,           0.0096559,           0.0096559
                 135,             0.04476,           0.0047783,           0.0016107,             0.73732,             0.74425,             0.75924,             0.44288,            0.038977,            0.020031,           0.0019272,           0.0096508,           0.0096508,           0.0096508
                 136,            0.045594,           0.0046069,           0.0018645,             0.73864,             0.74291,             0.75894,              0.4425,            0.038965,            0.020033,           0.0019266,           0.0096456,           0.0096456,           0.0096456
                 137,            0.046366,           0.0048995,           0.0018341,             0.73223,             0.74857,             0.75897,             0.44164,            0.038951,            0.020049,           0.0019281,           0.0096404,           0.0096404,           0.0096404
                 138,            0.045772,           0.0048751,           0.0011305,             0.73178,             0.74822,             0.75762,             0.44107,             0.03895,            0.020059,           0.0019278,           0.0096352,           0.0096352,           0.0096352
                 139,            0.045281,           0.0047576,           0.0014596,             0.71552,             0.76945,             0.75736,             0.44077,            0.038946,            0.020067,           0.0019303,           0.0096299,           0.0096299,           0.0096299
                 140,            0.044158,           0.0046733,           0.0015521,             0.74427,             0.73578,             0.75712,             0.44115,            0.038949,            0.020081,           0.0019337,           0.0096246,           0.0096246,           0.0096246
                 141,            0.045151,           0.0046558,           0.0016915,             0.70429,             0.78335,             0.75715,             0.44124,             0.03895,            0.020085,           0.0019356,           0.0096193,           0.0096193,           0.0096193
                 142,            0.044527,           0.0045993,           0.0013765,             0.70448,               0.783,             0.75723,              0.4427,            0.038948,            0.020094,           0.0019377,           0.0096139,           0.0096139,           0.0096139
                 143,            0.045125,           0.0046781,           0.0014769,              0.7192,             0.76612,             0.75816,             0.44178,            0.038937,            0.020096,           0.0019399,           0.0096085,           0.0096085,           0.0096085
                 144,            0.044551,           0.0046159,           0.0012488,             0.71161,             0.77957,             0.75858,             0.44219,            0.038928,            0.020092,           0.0019443,           0.0096031,           0.0096031,           0.0096031
                 145,             0.04432,           0.0046086,           0.0010779,             0.71744,             0.77061,             0.75761,             0.44184,            0.038917,            0.020087,           0.0019457,           0.0095976,           0.0095976,           0.0095976
                 146,            0.044895,            0.005049,           0.0015019,             0.72266,             0.77093,              0.7592,             0.44221,            0.038909,            0.020088,           0.0019502,           0.0095921,           0.0095921,           0.0095921
                 147,            0.043575,           0.0047448,          0.00091266,             0.72257,             0.77145,             0.75869,             0.44194,            0.038911,            0.020079,           0.0019558,           0.0095866,           0.0095866,           0.0095866
                 148,            0.044485,           0.0045782,            0.001241,             0.72861,             0.76433,             0.75938,             0.44311,            0.038917,            0.020078,           0.0019604,            0.009581,            0.009581,            0.009581
                 149,            0.043875,           0.0045844,           0.0014957,              0.7289,             0.76534,             0.76038,             0.44442,            0.038914,            0.020084,           0.0019654,           0.0095754,           0.0095754,           0.0095754
                 150,            0.043957,           0.0044991,            0.001151,             0.72806,             0.76413,             0.76036,              0.4452,            0.038904,            0.020088,           0.0019687,           0.0095697,           0.0095697,           0.0095697
                 151,            0.043722,           0.0046111,          0.00098951,             0.75405,             0.73755,             0.76116,             0.44654,            0.038898,            0.020085,           0.0019718,            0.009564,            0.009564,            0.009564
